scenario,power_multiplier,policy,public_energy_required_kwh,public_unmet_kwh,public_service_rate_percent,public_charging_cost,public_peak_load_kw,public_voltage_violation_rate_percent
nominal_public,1.0,uncontrolled,1175.4549799999998,0.0,100.0,234.12321024999997,159.44884857143632,0.0
nominal_public,1.0,edf_safe,1175.4549799999998,2.3593414067793604e-09,99.99999999979929,227.94804315095251,150.5312312718715,0.0
nominal_public,1.0,fedavg_local_safe,1175.4549799999998,157.69638512010852,86.58422586970464,196.31548587013916,156.5528485650214,0.0
nominal_public,1.0,fedavg_graph_safe,1175.4549799999998,156.36943178960593,86.697114355702,195.9789247605105,156.604335234775,0.0
nominal_public,1.0,grid_fedgat_no_guard,1175.4549799999998,8.539686355523944,99.27349949586977,227.33394515793006,161.25732962269967,0.0
nominal_public,1.0,grid_fedgat_pilot,1175.4549799999998,0.0,100.0,218.97215554686375,155.96372050103625,0.0
stressed_public_4x,4.0,uncontrolled,1175.4549799999998,0.0,100.0,936.4928409999999,251.0779873059759,0.9765625
stressed_public_4x,4.0,edf_safe,1175.4549799999998,30.583505855390655,97.39815591615506,888.771057488807,189.90342708568136,0.0
stressed_public_4x,4.0,fedavg_local_safe,1175.4549799999998,244.9499974533194,79.16126082061268,724.0340691646176,202.34037986628235,0.0
stressed_public_4x,4.0,fedavg_graph_safe,1175.4549799999998,243.6675363450981,79.27036420015864,723.1132686913352,203.69408081345523,0.0
stressed_public_4x,4.0,grid_fedgat_no_guard,1175.4549799999998,132.46798467097724,88.73049270921653,821.5789923813265,205.6356692433678,0.0
stressed_public_4x,4.0,grid_fedgat_pilot,1175.4549799999998,71.75643646272563,93.89543302945336,826.0144341218909,203.4279887779193,0.0
