feeder,seed,prop_service_minus_graph,prop_service_minus_local,prop_service_minus_no_guard,graph_service_minus_local,prop_cost_minus_graph_percent,prop_cost_minus_edf_percent,prop_violation_rate,no_guard_violation_rate,uncontrolled_violation_rate,prop_relative_bytes,no_guard_relative_bytes
compact,20260611,1.544839740853277,1.928319488525176,1.7028502659195652,0.38347974767189896,0.10744083870212409,-11.526678377043243,0.0,0.0,0.0,0.09166666666666666,0.09166666666666666
compact,20260612,1.5540952332243592,1.8101033963563964,1.7254530553884706,0.2560081631320372,-5.106563121959519,-13.530530296412339,0.0,0.0,0.018601190476190476,0.09166666666666666,0.09166666666666666
compact,20260613,1.822089093628577,1.7721098036294762,1.7640799734097783,-0.04997928999910073,-2.551048930695682,-8.39042838488041,0.0,0.0,0.0,0.09166666666666666,0.09166666666666666
compact,20260614,1.7485060312910008,1.9996558358835301,1.8677363193033045,0.25114980459252934,-3.5301560892955495,-10.735316175518296,0.0,0.0,0.09300595238095238,0.09166666666666666,0.09166666666666666
compact,20260615,1.4328793245925624,1.6785755806785971,1.5898793830197775,0.24569625608603474,-2.3838297157968795,-11.286290183441226,0.0,0.0,0.16741071428571427,0.09166666666666666,0.09166666666666666
nominal,20260611,1.1778657302763804,1.9037195097682371,2.1331352030143194,0.7258537794918567,-1.0859399823334848,-8.321345436405995,0.0,0.0,2.659970238095238,0.09166666666666666,0.09166666666666666
nominal,20260612,2.253504754240737,2.7586376620282635,3.268916334487159,0.5051329077875266,-1.397431911033952,-10.634973743899062,0.0,0.0,3.0319940476190474,0.09166666666666666,0.09166666666666666
nominal,20260613,2.316243353327536,2.536253010026016,2.8278917305439393,0.22000965669847972,-0.8999651739190807,-8.680350847646528,0.0,0.0,3.050595238095238,0.09166666666666666,0.09166666666666666
nominal,20260614,1.9728266270630996,2.8141582107883494,2.8929558528778614,0.8413315837252497,-0.76187114384367,-7.7947058904652105,0.0,0.0,3.3296130952380953,0.09166666666666666,0.09166666666666666
nominal,20260615,2.366933423075423,2.3155447659670187,2.5708738706318144,-0.051388657108404345,-0.4957093845010266,-8.010151001369024,0.0,0.0,4.092261904761905,0.09166666666666666,0.09166666666666666
stressed_long,20260611,1.233958269589948,1.7626327433666802,1.9308364330001666,0.5286744737767322,1.5283281910595008,-3.1980619716315184,0.0,0.0,9.840029761904763,0.09166666666666666,0.09166666666666666
stressed_long,20260612,2.158506189657885,2.4178518518262138,1.685292490594449,0.25934566216832877,0.4329459004507291,-3.882504442141299,0.0,0.0,10.193452380952381,0.09166666666666666,0.09166666666666666
stressed_long,20260613,1.3747374419964302,0.9929227657172106,1.7298813292226924,-0.3818146762792196,-0.2814203371855499,-4.728363154976061,0.0,0.0,9.35639880952381,0.09166666666666666,0.09166666666666666
stressed_long,20260614,1.738281545138932,1.735101829218877,1.489569337675519,-0.0031797159200550595,2.764706285370227,-2.766898260810886,0.0,0.0,9.505208333333334,0.09166666666666666,0.09166666666666666
stressed_long,20260615,1.9848569298111798,1.2069139008742127,1.692771187405313,-0.7779430289369671,1.663283637520296,-3.404734326294553,0.0,0.0,11.179315476190476,0.09166666666666666,0.09166666666666666
